Isolate_rep,Area_pix,Area_cm,Length_pix,Length_cm,Set,Isolate,Rep,Set2,Species
AR_284.S.1.4.A_R3,35647,2.6,3744.14,32,Set_1-1,AR_284.S.1.4.A,R3,Set_1,Pythium lutarium
AR_284.S.1.4.A_R3,11973,0.87,2420.67,20.69,Set_1-1,AR_284.S.1.4.A,R3,Set_1,Pythium lutarium
AR_284.S.1.4.A_R3,14514,1.06,1085.91,9.28,Set_1-1,AR_284.S.1.4.A,R3,Set_1,Pythium lutarium
AR_284.S.1.4.A_R3,7108,0.52,976.71,8.35,Set_1-1,AR_284.S.1.4.A,R3,Set_1,Pythium lutarium
AR_284.S.1.4.A_R3,29704,2.17,2848.03,24.34,Set_1-1,AR_284.S.1.4.A,R3,Set_1,Pythium lutarium
CONTROL_NR_R1,93823,6.85,11947.49,102.12,Set_1-1,CONTROL_NR,R1,Set_1,CONTROL_NR
CONTROL_NR_R1,88578,6.47,11335.13,96.88,Set_1-1,CONTROL_NR,R1,Set_1,CONTROL_NR
CONTROL_NR_R1,30878,2.26,4955.6,42.36,Set_1-1,CONTROL_NR,R1,Set_1,CONTROL_NR
CONTROL_NR_R1,75528,5.52,9266.14,79.2,Set_1-1,CONTROL_NR,R1,Set_1,CONTROL_NR
CONTROL_NR_R1,119156,8.7,14049.34,120.08,Set_1-1,CONTROL_NR,R1,Set_1,CONTROL_NR
CONTROL_NR_R2,104140,7.61,9418.91,80.5,Set_1-1,CONTROL_NR,R2,Set_1,CONTROL_NR
CONTROL_NR_R2,63378,4.63,8157.68,69.72,Set_1-1,CONTROL_NR,R2,Set_1,CONTROL_NR
CONTROL_NR_R2,46756,3.42,6337.82,54.17,Set_1-1,CONTROL_NR,R2,Set_1,CONTROL_NR
CONTROL_NR_R2,83873,6.13,6946.16,59.37,Set_1-1,CONTROL_NR,R2,Set_1,CONTROL_NR
CONTROL_NR_R2,55240,4.04,4503.64,38.49,Set_1-1,CONTROL_NR,R2,Set_1,CONTROL_NR
CONTROL_NR_R3,53528,3.91,8706.96,74.42,Set_1-1,CONTROL_NR,R3,Set_1,CONTROL_NR
CONTROL_NR_R3,86649,6.33,12709.42,108.63,Set_1-1,CONTROL_NR,R3,Set_1,CONTROL_NR
CONTROL_NR_R3,104294,7.62,15407.77,131.69,Set_1-1,CONTROL_NR,R3,Set_1,CONTROL_NR
CONTROL_NR_R3,97695,7.14,13636.79,116.55,Set_1-1,CONTROL_NR,R3,Set_1,CONTROL_NR
CONTROL_NR_R3,135468,9.9,17596.63,150.4,Set_1-1,CONTROL_NR,R3,Set_1,CONTROL_NR
CONTROL_R1,110674,8.08,9956.55,85.1,Set_1-1,CONTROL,R1,Set_1,CONTROL
CONTROL_R1,60313,4.41,8955.1,76.54,Set_1-1,CONTROL,R1,Set_1,CONTROL
CONTROL_R1,22041,1.61,1902.46,16.26,Set_1-1,CONTROL,R1,Set_1,CONTROL
CONTROL_R1,0,0,0,0,Set_1-1,CONTROL,R1,Set_1,CONTROL
CONTROL_R1,0,0,0,0,Set_1-1,CONTROL,R1,Set_1,CONTROL
CONTROL_R2,50443,3.68,8057.82,68.87,Set_1-1,CONTROL,R2,Set_1,CONTROL
CONTROL_R2,59582,4.35,9181.33,78.47,Set_1-1,CONTROL,R2,Set_1,CONTROL
CONTROL_R2,84594,6.18,10352.49,88.48,Set_1-1,CONTROL,R2,Set_1,CONTROL
CONTROL_R2,74742,5.46,9874.27,84.4,Set_1-1,CONTROL,R2,Set_1,CONTROL
CONTROL_R2,98276,7.18,11123.08,95.07,Set_1-1,CONTROL,R2,Set_1,CONTROL
CONTROL_R2,111709,8.16,11935.45,102.01,Set_1-1,CONTROL,R2,Set_1,CONTROL
CONTROL_R3,90537,6.61,10489.48,89.65,Set_1-1,CONTROL,R3,Set_1,CONTROL
CONTROL_R3,92619,6.77,11434.41,97.73,Set_1-1,CONTROL,R3,Set_1,CONTROL
CONTROL_R3,55415,4.05,6300.47,53.85,Set_1-1,CONTROL,R3,Set_1,CONTROL
CONTROL_R3,105143,7.68,11913.14,101.82,Set_1-1,CONTROL,R3,Set_1,CONTROL
CONTROL_R3,57295,4.19,7414.92,63.38,Set_1-1,CONTROL,R3,Set_1,CONTROL
IASO_10-16.27_R1,25156,1.72,2158.31,17.55,Set_1-1,IASO_10-16.27,R1,Set_1,Pythium aff. torulosum
IASO_10-16.27_R1,0,0,0,0,Set_1-1,IASO_10-16.27,R1,Set_1,Pythium aff. torulosum
IASO_10-16.27_R1,0,0,0,0,Set_1-1,IASO_10-16.27,R1,Set_1,Pythium aff. torulosum
IASO_10-16.27_R1,0,0,0,0,Set_1-1,IASO_10-16.27,R1,Set_1,Pythium aff. torulosum
IASO_10-16.27_R1,0,0,0,0,Set_1-1,IASO_10-16.27,R1,Set_1,Pythium aff. torulosum
IASO_10-16.27_R1,0,0,0,0,Set_1-1,IASO_10-16.27,R1,Set_1,Pythium aff. torulosum
IASO_10-16.27_R2,32035,2.19,2539.96,20.65,Set_1-1,IASO_10-16.27,R2,Set_1,Pythium aff. torulosum
IASO_10-16.27_R2,19330,1.32,2131.05,17.33,Set_1-1,IASO_10-16.27,R2,Set_1,Pythium aff. torulosum
IASO_10-16.27_R2,15692,1.07,1435.55,11.67,Set_1-1,IASO_10-16.27,R2,Set_1,Pythium aff. torulosum
IASO_10-16.27_R2,5275,0.36,448.77,3.65,Set_1-1,IASO_10-16.27,R2,Set_1,Pythium aff. torulosum
IASO_10-16.27_R2,13337,0.91,1247.04,10.14,Set_1-1,IASO_10-16.27,R2,Set_1,Pythium aff. torulosum
IASO_10-16.27_R2,17690,1.21,1649.6,13.41,Set_1-1,IASO_10-16.27,R2,Set_1,Pythium aff. torulosum
IASO_10-16.27_R3,41535,2.84,3746.17,30.46,Set_1-1,IASO_10-16.27,R3,Set_1,Pythium aff. torulosum
