"","Species","Isolate","Set","Rep","area.r","length.r","Weight.per.root","Weight.per.plant","r_s"
"498","Pythium aff. dissotocum","AR_160.S.1.9.A","Set_1-1","R3",1.97166666666667,25.1716666666667,12,146,0.0821917808219178
"499","Pythium aff. dissotocum","AR_160.S.1.9.A","Set_1-2","R1",2.8325,32.355,22,114,0.192982456140351
"500","Pythium aff. dissotocum","AR_160.S.1.9.A","Set_1-2","R2",2.318,29.596,36,140,0.257142857142857
"501","Pythium aff. dissotocum","AR_160.S.1.9.A","Set_1-2","R3",1.314,14.292,18,98,0.183673469387755
"502","Pythium aff. dissotocum","AR_160.S.1.9.A","Set_1-3","R1",3.336,47.718,42,148,0.283783783783784
"503","Pythium aff. dissotocum","AR_160.S.1.9.A","Set_1-3","R2",4.152,51.186,30,136,0.220588235294118
"504","Pythium aff. dissotocum","AR_160.S.1.9.A","Set_1-3","R3",6.824,87.09,46,158,0.291139240506329
"505","Pythium aff. dissotocum","IASO_10-37.8","Set_1-1","R1",0.644,9.488,6,164,0.0365853658536585
"506","Pythium aff. dissotocum","IASO_10-37.8","Set_1-1","R2",2.27,36.462,16,144,0.111111111111111
"507","Pythium aff. dissotocum","IASO_10-37.8","Set_1-1","R3",0.134,1.862,2,152,0.0131578947368421
"508","Pythium aff. dissotocum","IASO_10-37.8","Set_1-2","R1",1.262,16.036,22,138,0.159420289855072
"509","Pythium aff. dissotocum","IASO_10-37.8","Set_1-2","R2",1.204,14.324,20,140,0.142857142857143
"510","Pythium aff. dissotocum","IASO_10-37.8","Set_1-2","R3",4.068,50.088,38,162,0.234567901234568
"511","Pythium aff. dissotocum","IASO_10-37.8","Set_1-3","R1",5.832,87.406,52,162,0.320987654320988
"512","Pythium aff. dissotocum","IASO_10-37.8","Set_1-3","R2",2.726,38.288,34,150,0.226666666666667
"513","Pythium aff. dissotocum","IASO_10-37.8","Set_1-3","R3",3.326,49.03,46,166,0.27710843373494
"514","Pythium aff. dissotocum","MISO_1-33","Set_1-1","R1",2.538,37.78,24,164,0.146341463414634
"515","Pythium aff. dissotocum","MISO_1-33","Set_1-1","R2",1.868,28.688,18,158,0.113924050632911
"516","Pythium aff. dissotocum","MISO_1-33","Set_1-1","R3",2.352,38.47,26,170,0.152941176470588
"517","Pythium aff. dissotocum","MISO_1-33","Set_1-2","R1",2.856,40.644,44,152,0.289473684210526
"518","Pythium aff. dissotocum","MISO_1-33","Set_1-2","R2",0.812,11.286,20,154,0.12987012987013
"519","Pythium aff. dissotocum","MISO_1-33","Set_1-2","R3",1.104,15.202,18,164,0.109756097560976
"520","Pythium aff. dissotocum","MISO_1-33","Set_1-3","R1",4.016,55.814,42,144,0.291666666666667
"521","Pythium aff. dissotocum","MISO_1-33","Set_1-3","R2",4.562,70.464,34,136,0.25
"522","Pythium aff. dissotocum","MISO_1-33","Set_1-3","R3",3.404,58.468,40,146,0.273972602739726
"523","Pythium aff. hypogynum","C-ARSO2_3-5","Set_2-1","R1",5.776,48.054,48,138,0.347826086956522
"524","Pythium aff. hypogynum","C-ARSO2_3-5","Set_2-1","R2",7.464,64.922,46,158,0.291139240506329
"525","Pythium aff. hypogynum","C-ARSO2_3-5","Set_2-1","R3",6.688,55.732,44,146,0.301369863013699
"526","Pythium aff. hypogynum","C-ARSO2_3-5","Set_2-2","R1",2.822,37.776,30,116,0.258620689655172
"527","Pythium aff. hypogynum","C-ARSO2_3-5","Set_2-2","R2",4.278,47.758,28,120,0.233333333333333
"528","Pythium aff. hypogynum","C-ARSO2_3-5","Set_2-2","R3",3.936,48.344,34,62,0.548387096774194
"529","Pythium aff. hypogynum","C-ARSO2_3-5","Set_2-3","R1",7.24,79.364,70,192,0.364583333333333
"530","Pythium aff. hypogynum","C-ARSO2_3-5","Set_2-3","R2",7.482,86.804,72,202,0.356435643564356
"531","Pythium aff. hypogynum","C-ARSO2_3-5","Set_2-3","R3",4.982,62.764,32,130,0.246153846153846
"532","Pythium aff. iwayamai","C-KSSO2_5-8","Set_2-1","R1",6.308,59.728,30,156,0.192307692307692
"533","Pythium aff. iwayamai","C-KSSO2_5-8","Set_2-1","R2",6.216,59.006,28,140,0.2
"534","Pythium aff. iwayamai","C-KSSO2_5-8","Set_2-1","R3",8.74,75.89,46,140,0.328571428571429
"535","Pythium aff. iwayamai","C-KSSO2_5-8","Set_2-2","R1",3.868,49.61,30,122,0.245901639344262
"536","Pythium aff. iwayamai","C-KSSO2_5-8","Set_2-2","R2",6.27166666666667,81.5333333333333,54,148,0.364864864864865
"537","Pythium aff. iwayamai","C-KSSO2_5-8","Set_2-2","R3",4.264,55.636,32,126,0.253968253968254
"538","Pythium aff. iwayamai","C-KSSO2_5-8","Set_2-3","R1",4.652,63.49,44,120,0.366666666666667
"539","Pythium aff. iwayamai","C-KSSO2_5-8","Set_2-3","R2",5.542,72.738,42,166,0.253012048192771
"540","Pythium aff. iwayamai","C-KSSO2_5-8","Set_2-3","R3",4.252,57.596,40,130,0.307692307692308
"541","Pythium aff. perplexum","IASO_2-12.11","Set_5-1","R1",7.514,91.504,50,108,0.462962962962963
"542","Pythium aff. perplexum","IASO_2-12.11","Set_5-1","R2",8.142,99.176,62,162,0.382716049382716
"543","Pythium aff. perplexum","IASO_2-12.11","Set_5-1","R3",5.906,71.266,46,76,0.605263157894737
"544","Pythium aff. perplexum","IASO_2-12.11","Set_5-2","R1",6.746,79.638,68,178,0.382022471910112
"545","Pythium aff. perplexum","IASO_2-12.11","Set_5-2","R2",5.878,81.202,74,192,0.385416666666667
"546","Pythium aff. perplexum","IASO_2-12.11","Set_5-2","R3",6.172,70.178,46,126,0.365079365079365
"547","Pythium aff. perplexum","IASO_2-12.11","Set_5-3","R1",8.466,108.744,54,156,0.346153846153846
"548","Pythium aff. perplexum","IASO_2-12.11","Set_5-3","R2",8.538,102.046,54,144,0.375
"549","Pythium aff. perplexum","IASO_2-12.11","Set_5-3","R3",8.592,101.008,62,184,0.33695652173913
"550","Pythium aff. perplexum","MNSO_2-28","Set_5-1","R1",6.696,90.84,50,98,0.510204081632653
"551","Pythium aff. perplexum","MNSO_2-28","Set_5-1","R2",8.856,111.672,72,122,0.590163934426229
"552","Pythium aff. perplexum","MNSO_2-28","Set_5-1","R3",10.386,129.15,76,184,0.41304347826087
"553","Pythium aff. perplexum","MNSO_2-28","Set_5-2","R1",8.876,113.656,74,176,0.420454545454545
"554","Pythium aff. perplexum","MNSO_2-28","Set_5-2","R2",8.67,104.17,64,162,0.395061728395062
"555","Pythium aff. perplexum","MNSO_2-28","Set_5-2","R3",6.304,82.97,56,170,0.329411764705882
"556","Pythium aff. perplexum","MNSO_2-28","Set_5-3","R1",8.826,109.636,68,192,0.354166666666667
"557","Pythium aff. perplexum","MNSO_2-28","Set_5-3","R2",10.506,113.414,80,220,0.363636363636364
"558","Pythium aff. perplexum","MNSO_2-28","Set_5-3","R3",10.866,134.976,72,214,0.336448598130841
"559","Pythium aff. perplexum","WISO_4-39.1H","Set_5-1","R1",4.768,56.648,38,88,0.431818181818182
"560","Pythium aff. perplexum","WISO_4-39.1H","Set_5-1","R2",6.322,85.946,56,118,0.474576271186441
"561","Pythium aff. perplexum","WISO_4-39.1H","Set_5-1","R3",3.208,39.614,44,84,0.523809523809524
"562","Pythium aff. perplexum","WISO_4-39.1H","Set_5-2","R1",1.386,15.124,34,104,0.326923076923077
"563","Pythium aff. perplexum","WISO_4-39.1H","Set_5-2","R2",1.014,11.674,34,116,0.293103448275862
"564","Pythium aff. perplexum","WISO_4-39.1H","Set_5-2","R3",2.966,35.73,48,152,0.315789473684211
"565","Pythium aff. perplexum","WISO_4-39.1H","Set_5-3","R1",2.704,29.268,36,148,0.243243243243243
"566","Pythium aff. perplexum","WISO_4-39.1H","Set_5-3","R2",2.652,28.31,34,136,0.25
"567","Pythium aff. perplexum","WISO_4-39.1H","Set_5-3","R3",1.485,15.0875,24,102,0.235294117647059
"568","Pythium aff. torulosum","AR_15.S.2.7.A","Set_1-1","R1",1.244,15.166,10,134,0.0746268656716418
"569","Pythium aff. torulosum","AR_15.S.2.7.A","Set_1-1","R2",2.024,27.712,22,136,0.161764705882353
"570","Pythium aff. torulosum","AR_15.S.2.7.A","Set_1-1","R3",1.51166666666667,22.1083333333333,16,126,0.126984126984127
"571","Pythium aff. torulosum","AR_15.S.2.7.A","Set_1-2","R1",0.662,5.23,10,168,0.0595238095238095
"572","Pythium aff. torulosum","AR_15.S.2.7.A","Set_1-2","R2",1.524,16.152,22,108,0.203703703703704
"573","Pythium aff. torulosum","AR_15.S.2.7.A","Set_1-2","R3",1.85,18.422,14,92,0.152173913043478
"574","Pythium aff. torulosum","AR_15.S.2.7.A","Set_1-3","R1",4.274,55.714,42,140,0.3
"575","Pythium aff. torulosum","AR_15.S.2.7.A","Set_1-3","R2",1.102,12.38,14,84,0.166666666666667
"576","Pythium aff. torulosum","AR_15.S.2.7.A","Set_1-3","R3",2.168,27.908,34,120,0.283333333333333
"577","Pythium aff. torulosum","IASO_10-16.27","Set_1-1","R1",0.286666666666667,2.925,8,176,0.0454545454545455
"578","Pythium aff. torulosum","IASO_10-16.27","Set_1-1","R2",1.17666666666667,12.8083333333333,20,144,0.138888888888889
"579","Pythium aff. torulosum","IASO_10-16.27","Set_1-1","R3",1.884,23.512,20,164,0.121951219512195
"580","Pythium aff. torulosum","IASO_10-16.27","Set_1-2","R1",3.634,42.82,36,158,0.227848101265823
"581","Pythium aff. torulosum","IASO_10-16.27","Set_1-2","R2",2.744,36.328,44,138,0.318840579710145
"582","Pythium aff. torulosum","IASO_10-16.27","Set_1-2","R3",3.576,48.47,32,116,0.275862068965517
"583","Pythium aff. torulosum","IASO_10-16.27","Set_1-3","R1",6.378,83.834,54,170,0.317647058823529
"584","Pythium aff. torulosum","IASO_10-16.27","Set_1-3","R2",2.76,30.688,34,148,0.22972972972973
"585","Pythium aff. torulosum","IASO_10-16.27","Set_1-3","R3",4.812,59.276,38,90,0.422222222222222
"586","Pythium aff. torulosum","INSO_4-10","Set_1-1","R1",5.098,82.11,40,186,0.21505376344086
"587","Pythium aff. torulosum","INSO_4-10","Set_1-1","R2",1.574,37.408,28,152,0.184210526315789
"588","Pythium aff. torulosum","INSO_4-10","Set_1-1","R3",3.012,50.15,34,148,0.22972972972973
"589","Pythium aff. torulosum","INSO_4-10","Set_1-2","R1",2.596,34.846,22,110,0.2
"590","Pythium aff. torulosum","INSO_4-10","Set_1-2","R2",4.23,56.332,48,154,0.311688311688312
"591","Pythium aff. torulosum","INSO_4-10","Set_1-2","R3",2.866,37.03,32,192,0.166666666666667
"592","Pythium aff. torulosum","INSO_4-10","Set_1-3","R1",1.694,27.026,8,126,0.0634920634920635
"593","Pythium aff. torulosum","INSO_4-10","Set_1-3","R2",5.66,81.088,36,158,0.227848101265823
"594","Pythium aff. torulosum","INSO_4-10","Set_1-3","R3",7.668,104.938,44,144,0.305555555555556
"595","Pythium amasculinum","C-ARSO2_4-4","Set_6-1","R1",5.774,73.592,64,168,0.380952380952381
"596","Pythium amasculinum","C-ARSO2_4-4","Set_6-1","R2",9.362,104.776,88,192,0.458333333333333
"597","Pythium amasculinum","C-ARSO2_4-4","Set_6-1","R3",7.912,99.49,68,166,0.409638554216867
"598","Pythium amasculinum","C-ARSO2_4-4","Set_6-2","R1",5.71166666666667,68.185,76,214,0.355140186915888
"599","Pythium amasculinum","C-ARSO2_4-4","Set_6-2","R2",6.22833333333333,76.1633333333333,62,186,0.333333333333333
"600","Pythium amasculinum","C-ARSO2_4-4","Set_6-2","R3",6.94333333333333,79.6333333333333,66,200,0.33
"601","Pythium amasculinum","C-ARSO2_4-4","Set_6-3","R1",6.31,86.954,68,158,0.430379746835443
"602","Pythium amasculinum","C-ARSO2_4-4","Set_6-3","R2",6.45,86.854,58,178,0.325842696629214
"603","Pythium amasculinum","C-ARSO2_4-4","Set_6-3","R3",4.84,62.21,50,132,0.378787878787879
"604","Pythium amasculinum","C-MNSO2_5-12","Set_6-1","R1",9.018,95.73,88,174,0.505747126436782
"605","Pythium amasculinum","C-MNSO2_5-12","Set_6-1","R2",2.822,39.846,42,160,0.2625
"606","Pythium amasculinum","C-MNSO2_5-12","Set_6-1","R3",8.236,82.586,68,176,0.386363636363636
"607","Pythium amasculinum","C-MNSO2_5-12","Set_6-2","R1",4.15333333333333,60.25,52,146,0.356164383561644
"608","Pythium amasculinum","C-MNSO2_5-12","Set_6-2","R2",3.99,46.8566666666667,52,140,0.371428571428571
"609","Pythium amasculinum","C-MNSO2_5-12","Set_6-2","R3",3.58,42.4933333333333,60,174,0.344827586206897
"610","Pythium amasculinum","C-MNSO2_5-12","Set_6-3","R1",2.948,36.58,50,136,0.367647058823529
"611","Pythium amasculinum","C-MNSO2_5-12","Set_6-3","R2",7.11,85.848,76,208,0.365384615384615
"612","Pythium amasculinum","C-MNSO2_5-12","Set_6-3","R3",7.656,90.008,72,182,0.395604395604396
"613","Pythium amasculinum","KSSO_4-31","Set_6-1","R1",8.14,97.598,76,166,0.457831325301205
"614","Pythium amasculinum","KSSO_4-31","Set_6-1","R2",6.414,74.784,74,150,0.493333333333333
"615","Pythium amasculinum","KSSO_4-31","Set_6-1","R3",5.722,66.214,62,146,0.424657534246575
"616","Pythium amasculinum","KSSO_4-31","Set_6-2","R1",6.99666666666667,85.0283333333333,76,182,0.417582417582418
"617","Pythium amasculinum","KSSO_4-31","Set_6-2","R2",6.055,77.6666666666667,98,198,0.494949494949495
"618","Pythium amasculinum","KSSO_4-31","Set_6-2","R3",6.25333333333333,71.62,62,152,0.407894736842105
"619","Pythium amasculinum","KSSO_4-31","Set_6-3","R1",8.208,105.16,78,176,0.443181818181818
"620","Pythium amasculinum","KSSO_4-31","Set_6-3","R2",5.838,75.634,56,132,0.424242424242424
"621","Pythium amasculinum","KSSO_4-31","Set_6-3","R3",5.06,62.73,56,116,0.482758620689655
"622","Pythium angustatum","V-ARSO2_3-46","Set_2-1","R1",10.734,89.672,50,172,0.290697674418605
"623","Pythium angustatum","V-ARSO2_3-46","Set_2-1","R2",9.412,80.008,40,158,0.253164556962025
"624","Pythium angustatum","V-ARSO2_3-46","Set_2-1","R3",9.148,73.334,48,162,0.296296296296296
"625","Pythium angustatum","V-ARSO2_3-46","Set_2-2","R1",5.808,74.784,44,146,0.301369863013699
"626","Pythium angustatum","V-ARSO2_3-46","Set_2-2","R2",8.734,113.072,54,158,0.341772151898734
"627","Pythium angustatum","V-ARSO2_3-46","Set_2-2","R3",5,64.402,38,136,0.279411764705882
"628","Pythium angustatum","V-ARSO2_3-46","Set_2-3","R1",10.088,128.252,68,170,0.4
"629","Pythium angustatum","V-ARSO2_3-46","Set_2-3","R2",9.104,115.574,62,170,0.364705882352941
"630","Pythium angustatum","V-ARSO2_3-46","Set_2-3","R3",9.24,127.184,72,172,0.418604651162791
"631","Pythium aphanidermatum","C-NESO2_6-2","Set_6-1","R1",4.016,49.53,42,146,0.287671232876712
"632","Pythium aphanidermatum","C-NESO2_6-2","Set_6-1","R2",5.832,68.15,74,166,0.44578313253012
"633","Pythium aphanidermatum","C-NESO2_6-2","Set_6-1","R3",3.482,46.652,54,144,0.375
"634","Pythium aphanidermatum","C-NESO2_6-2","Set_6-2","R1",1.605,19.56,36,108,0.333333333333333
"635","Pythium aphanidermatum","C-NESO2_6-2","Set_6-2","R2",1.31,16.18,24,136,0.176470588235294
"636","Pythium aphanidermatum","C-NESO2_6-2","Set_6-2","R3",2.53833333333333,31.6283333333333,44,148,0.297297297297297
"637","Pythium aphanidermatum","C-NESO2_6-2","Set_6-3","R1",3.916,46.358,56,154,0.363636363636364
"638","Pythium aphanidermatum","C-NESO2_6-2","Set_6-3","R2",0.652,5.042,70,182,0.384615384615385
"639","Pythium aphanidermatum","C-NESO2_6-2","Set_6-3","R3",1.604,17.8,74,178,0.415730337078652
"640","Pythium aphanidermatum","ILSO_6-13C_1","Set_6-1","R1",4.906,61.14,60,158,0.379746835443038
"641","Pythium aphanidermatum","ILSO_6-13C_1","Set_6-1","R2",7.116,95.76,84,158,0.531645569620253
"642","Pythium aphanidermatum","ILSO_6-13C_1","Set_6-1","R3",4.512,54.466,52,122,0.426229508196721
"643","Pythium aphanidermatum","ILSO_6-13C_1","Set_6-2","R1",3.01833333333333,35.1383333333333,36,114,0.315789473684211
"644","Pythium aphanidermatum","ILSO_6-13C_1","Set_6-2","R2",5.85833333333333,70.435,68,184,0.369565217391304
"645","Pythium aphanidermatum","ILSO_6-13C_1","Set_6-2","R3",3.9,47.22,64,174,0.367816091954023
"646","Pythium aphanidermatum","ILSO_6-13C_1","Set_6-3","R1",5.246,66.186,44,108,0.407407407407407
"647","Pythium aphanidermatum","ILSO_6-13C_1","Set_6-3","R2",3.44,38.45,52,144,0.361111111111111
"648","Pythium aphanidermatum","ILSO_6-13C_1","Set_6-3","R3",3.838,47.196,40,112,0.357142857142857
"649","Pythium aphanidermatum","INSO_4-33","Set_6-1","R1",6.05,74.936,86,156,0.551282051282051
"650","Pythium aphanidermatum","INSO_4-33","Set_6-1","R2",4.26,54.84,64,148,0.432432432432432
"651","Pythium aphanidermatum","INSO_4-33","Set_6-1","R3",4.798,70.954,60,134,0.447761194029851
"652","Pythium aphanidermatum","INSO_4-33","Set_6-2","R1",1.23833333333333,13.7966666666667,38,178,0.213483146067416
"653","Pythium aphanidermatum","INSO_4-33","Set_6-2","R2",4.14,60.66,62,186,0.333333333333333
"654","Pythium aphanidermatum","INSO_4-33","Set_6-2","R3",3.14,45.92,62,186,0.333333333333333
"655","Pythium aphanidermatum","INSO_4-33","Set_6-3","R1",7.116,86.456,62,146,0.424657534246575
"656","Pythium aphanidermatum","INSO_4-33","Set_6-3","R2",6.77,88.662,64,150,0.426666666666667
"657","Pythium aphanidermatum","INSO_4-33","Set_6-3","R3",5.656,70.808,60,130,0.461538461538462
"658","Pythium aristosporum","C-ILSO2_1-13","Set_5-1","R1",8.708,102.986,68,122,0.557377049180328
"659","Pythium aristosporum","C-ILSO2_1-13","Set_5-1","R2",3.834,46.746,44,86,0.511627906976744
"660","Pythium aristosporum","C-ILSO2_1-13","Set_5-1","R3",6.998,78.674,62,110,0.563636363636364
"661","Pythium aristosporum","C-ILSO2_1-13","Set_5-2","R1",5.3,62.654,66,166,0.397590361445783
"662","Pythium aristosporum","C-ILSO2_1-13","Set_5-2","R2",5.502,79.354,52,138,0.376811594202899
"663","Pythium aristosporum","C-ILSO2_1-13","Set_5-2","R3",7.608,90.122,62,176,0.352272727272727
"664","Pythium aristosporum","C-ILSO2_1-13","Set_5-3","R1",6.6,81.14,58,156,0.371794871794872
"665","Pythium aristosporum","C-ILSO2_1-13","Set_5-3","R2",6.312,70.944,64,180,0.355555555555556
"666","Pythium aristosporum","C-ILSO2_1-13","Set_5-3","R3",6.058,73.92,54,150,0.36
"667","Pythium aristosporum","V-MICO2_5-8","Set_5-1","R1",6.5,85.59,68,166,0.409638554216867
"668","Pythium aristosporum","V-MICO2_5-8","Set_5-1","R2",9.02,108.852,76,146,0.520547945205479
"669","Pythium aristosporum","V-MICO2_5-8","Set_5-1","R3",8.298,99.73,66,170,0.388235294117647
"670","Pythium aristosporum","V-MICO2_5-8","Set_5-2","R1",4.36,59.682,52,134,0.388059701492537
"671","Pythium aristosporum","V-MICO2_5-8","Set_5-2","R2",5.322,67.254,60,166,0.36144578313253
"672","Pythium aristosporum","V-MICO2_5-8","Set_5-2","R3",6.404,73.66,86,182,0.472527472527473
"673","Pythium aristosporum","V-MICO2_5-8","Set_5-3","R1",7.556,88.57,48,168,0.285714285714286
"674","Pythium aristosporum","V-MICO2_5-8","Set_5-3","R2",6.388,74.72,56,170,0.329411764705882
"675","Pythium aristosporum","V-MICO2_5-8","Set_5-3","R3",5.198,65.09,56,140,0.4
"676","Pythium aristosporum","V-NDSO2_6-50","Set_5-1","R1",5.684,74.494,64,130,0.492307692307692
"677","Pythium aristosporum","V-NDSO2_6-50","Set_5-1","R2",7.706,87.748,76,176,0.431818181818182
"678","Pythium aristosporum","V-NDSO2_6-50","Set_5-1","R3",3.364,48.512,30,126,0.238095238095238
"679","Pythium aristosporum","V-NDSO2_6-50","Set_5-2","R1",4.956,53.04,54,160,0.3375
"680","Pythium aristosporum","V-NDSO2_6-50","Set_5-2","R2",5.322,66.5,68,192,0.354166666666667
"681","Pythium aristosporum","V-NDSO2_6-50","Set_5-2","R3",4.778,59.122,62,140,0.442857142857143
"682","Pythium aristosporum","V-NDSO2_6-50","Set_5-3","R1",9.416,102.55,94,190,0.494736842105263
"683","Pythium aristosporum","V-NDSO2_6-50","Set_5-3","R2",10.424,108.596,70,180,0.388888888888889
"684","Pythium aristosporum","V-NDSO2_6-50","Set_5-3","R3",7.144,77.642,70,188,0.372340425531915
"685","Pythium arrhenomanes","C-ILSO2_1-1","Set_5-1","R1",5.664,69.496,54,110,0.490909090909091
"686","Pythium arrhenomanes","C-ILSO2_1-1","Set_5-1","R2",6.8,88.474,62,156,0.397435897435897
"687","Pythium arrhenomanes","C-ILSO2_1-1","Set_5-1","R3",5.106,56.094,54,106,0.509433962264151
"688","Pythium arrhenomanes","C-ILSO2_1-1","Set_5-2","R1",4.064,51.292,48,142,0.338028169014085
"689","Pythium arrhenomanes","C-ILSO2_1-1","Set_5-2","R2",4.116,48.546,66,160,0.4125
"690","Pythium arrhenomanes","C-ILSO2_1-1","Set_5-2","R3",4.11,49.956,52,156,0.333333333333333
"691","Pythium arrhenomanes","C-ILSO2_1-1","Set_5-3","R1",3.866,47.872,54,186,0.290322580645161
"692","Pythium arrhenomanes","C-ILSO2_1-1","Set_5-3","R2",7.766,94.058,54,158,0.341772151898734
"693","Pythium arrhenomanes","C-ILSO2_1-1","Set_5-3","R3",8.65,101.414,68,186,0.365591397849462
"694","Pythium arrhenomanes","C-ILSO2_1-3","Set_5-1","R1",1.408,14.824,28,132,0.212121212121212
"695","Pythium arrhenomanes","C-ILSO2_1-3","Set_5-1","R2",2.688,30.636,38,106,0.358490566037736
"696","Pythium arrhenomanes","C-ILSO2_1-3","Set_5-1","R3",4.2,58.13,56,150,0.373333333333333
"697","Pythium arrhenomanes","C-ILSO2_1-3","Set_5-2","R1",3.46,43.818,58,156,0.371794871794872
"698","Pythium arrhenomanes","C-ILSO2_1-3","Set_5-2","R2",4.212,50.524,70,178,0.393258426966292
"699","Pythium arrhenomanes","C-ILSO2_1-3","Set_5-2","R3",4.265,50.9175,32,112,0.285714285714286
"700","Pythium arrhenomanes","C-ILSO2_1-3","Set_5-3","R1",9.652,108.336,56,156,0.358974358974359
"701","Pythium arrhenomanes","C-ILSO2_1-3","Set_5-3","R2",6.416,72.216,56,148,0.378378378378378
"702","Pythium arrhenomanes","C-ILSO2_1-3","Set_5-3","R3",4.818,62.824,48,146,0.328767123287671
"703","Pythium arrhenomanes","C-MISO2_4-10","Set_5-1","R1",8.066,93.05,50,146,0.342465753424658
"704","Pythium arrhenomanes","C-MISO2_4-10","Set_5-1","R2",9.826,115.094,54,92,0.58695652173913
"705","Pythium arrhenomanes","C-MISO2_4-10","Set_5-1","R3",7.818,93.148,54,130,0.415384615384615
"706","Pythium arrhenomanes","C-MISO2_4-10","Set_5-2","R1",8.1,93.402,76,202,0.376237623762376
"707","Pythium arrhenomanes","C-MISO2_4-10","Set_5-2","R2",6.638,83.808,52,154,0.337662337662338
"708","Pythium arrhenomanes","C-MISO2_4-10","Set_5-2","R3",5.482,68.116,62,144,0.430555555555556
"709","Pythium arrhenomanes","C-MISO2_4-10","Set_5-3","R1",9.244,119.402,52,172,0.302325581395349
"710","Pythium arrhenomanes","C-MISO2_4-10","Set_5-3","R2",10.076,113.428,96,232,0.413793103448276
"711","Pythium arrhenomanes","C-MISO2_4-10","Set_5-3","R3",9.472,116.106,52,166,0.313253012048193
"712","Pythium attrantheridium","IASO_6-36.41","Set_1-1","R1",1.842,40.454,28,144,0.194444444444444
"713","Pythium attrantheridium","IASO_6-36.41","Set_1-1","R2",1.41666666666667,16.4016666666667,18,144,0.125
"714","Pythium attrantheridium","IASO_6-36.41","Set_1-1","R3",2.936,49.016,32,162,0.197530864197531
"715","Pythium attrantheridium","IASO_6-36.41","Set_1-2","R1",1.496,16.206,18,156,0.115384615384615
"716","Pythium attrantheridium","IASO_6-36.41","Set_1-2","R2",0,0,10,150,0.0666666666666667
"717","Pythium attrantheridium","IASO_6-36.41","Set_1-2","R3",0.87,9.686,8,146,0.0547945205479452
"718","Pythium attrantheridium","IASO_6-36.41","Set_1-3","R1",3.94,53.042,34,116,0.293103448275862
"719","Pythium attrantheridium","IASO_6-36.41","Set_1-3","R2",5.508,69.296,48,136,0.352941176470588
"720","Pythium attrantheridium","IASO_6-36.41","Set_1-3","R3",1.546,21.994,6,60,0.1
"721","Pythium attrantheridium","ILSO_3-24A","Set_1-1","R1",1.768,25.032,22,146,0.150684931506849
"722","Pythium attrantheridium","ILSO_3-24A","Set_1-1","R2",0.61,5.79833333333333,4,144,0.0277777777777778
"723","Pythium attrantheridium","ILSO_3-24A","Set_1-1","R3",2.476,33.61,24,168,0.142857142857143
"724","Pythium attrantheridium","ILSO_3-24A","Set_1-2","R1",1.96,23.018,26,134,0.194029850746269
"725","Pythium attrantheridium","ILSO_3-24A","Set_1-2","R2",1.376,13.524,16,154,0.103896103896104
"726","Pythium attrantheridium","ILSO_3-24A","Set_1-2","R3",0.324,2.722,8,154,0.051948051948052
"727","Pythium attrantheridium","ILSO_3-24A","Set_1-3","R1",3.452,42.89,28,128,0.21875
"728","Pythium attrantheridium","ILSO_3-24A","Set_1-3","R2",2.636,35.606,32,142,0.225352112676056
"729","Pythium attrantheridium","ILSO_3-24A","Set_1-3","R3",2.78,36.202,24,138,0.173913043478261
"730","Pythium attrantheridium","NDSO_2-12","Set_1-1","R1",2.914,46.908,34,150,0.226666666666667
"731","Pythium attrantheridium","NDSO_2-12","Set_1-1","R2",1.516,26.454,20,122,0.163934426229508
"732","Pythium attrantheridium","NDSO_2-12","Set_1-1","R3",1.332,22.778,26,144,0.180555555555556
"733","Pythium attrantheridium","NDSO_2-12","Set_1-2","R1",0.616,5.626,12,142,0.0845070422535211
"734","Pythium attrantheridium","NDSO_2-12","Set_1-2","R2",1.28,14.664,14,188,0.074468085106383
"735","Pythium attrantheridium","NDSO_2-12","Set_1-2","R3",0.724,7.21,10,154,0.0649350649350649
"736","Pythium attrantheridium","NDSO_2-12","Set_1-3","R1",2.97,38.34,40,130,0.307692307692308
"737","Pythium attrantheridium","NDSO_2-12","Set_1-3","R2",3.536,46.886,42,156,0.269230769230769
"738","Pythium attrantheridium","NDSO_2-12","Set_1-3","R3",3.548,46.484,44,132,0.333333333333333
"739","Pythium camurandrum","C-KSSO2_4-10","Set_2-1","R1",9.628,84.898,52,138,0.376811594202899
"740","Pythium camurandrum","C-KSSO2_4-10","Set_2-1","R2",7.882,74.558,32,118,0.271186440677966
"741","Pythium camurandrum","C-KSSO2_4-10","Set_2-1","R3",8.832,74.948,40,144,0.277777777777778
"742","Pythium camurandrum","C-KSSO2_4-10","Set_2-2","R1",5.932,73.994,48,138,0.347826086956522
"743","Pythium camurandrum","C-KSSO2_4-10","Set_2-2","R2",4.284,54.586,30,124,0.241935483870968
"744","Pythium camurandrum","C-KSSO2_4-10","Set_2-2","R3",5.99,73.2766666666667,50,150,0.333333333333333
"745","Pythium camurandrum","C-KSSO2_4-10","Set_2-3","R1",5.682,75.798,48,138,0.347826086956522
"746","Pythium camurandrum","C-KSSO2_4-10","Set_2-3","R2",4.982,67.01,46,146,0.315068493150685
"747","Pythium camurandrum","C-KSSO2_4-10","Set_2-3","R3",11.424,137.838,82,210,0.39047619047619
"748","Pythium carolinianum","C-NDSO2_3-2","Set_3-1","R1",7.482,68.288,54,158,0.341772151898734
