"","Species","Isolate","Set","Rep","area.r","length.r","Weight.per.root","Weight.per.plant","r_s"
"67","CONTROL","CONTROL","Set_6-2","R1",5.96166666666667,70.3833333333333,56,182,0.307692307692308
"68","CONTROL","CONTROL","Set_6-2","R2",6.67333333333333,76.825,60,190,0.315789473684211
"69","CONTROL","CONTROL","Set_6-2","R3",5.54,71.93,48,164,0.292682926829268
"70","CONTROL","CONTROL","Set_6-3","R1",9.252,108.418,84,174,0.482758620689655
"71","CONTROL","CONTROL","Set_6-3","R2",9.372,119.888,64,182,0.351648351648352
"72","CONTROL","CONTROL","Set_6-3","R3",6.61,80.004,72,196,0.36734693877551
"73","CONTROL","CONTROL","Set_7-1","R1",9.678,118.496,58,148,0.391891891891892
"74","CONTROL","CONTROL","Set_7-1","R2",6.626,89.762,62,152,0.407894736842105
"75","CONTROL","CONTROL","Set_7-1","R3",9.646,121.35,68,168,0.404761904761905
"76","CONTROL","CONTROL","Set_7-2","R1",7.928,102.276,66,194,0.34020618556701
"77","CONTROL","CONTROL","Set_7-2","R2",7.88,110.4,72,184,0.391304347826087
"78","CONTROL","CONTROL","Set_7-2","R3",7.364,100.47,68,196,0.346938775510204
"79","CONTROL","CONTROL","Set_7-3","R1",11.396,142.792,74,178,0.415730337078652
"80","CONTROL","CONTROL","Set_7-3","R2",8.888,113.346,68,160,0.425
"81","CONTROL","CONTROL","Set_7-3","R3",8.388,110.186,78,170,0.458823529411765
"82","CONTROL_NR","CONTROL_NR","Set_1-1","R1",5.96,88.128,36,170,0.211764705882353
"83","CONTROL_NR","CONTROL_NR","Set_1-1","R2",5.166,60.45,34,152,0.223684210526316
"84","CONTROL_NR","CONTROL_NR","Set_1-1","R3",6.98,116.338,36,138,0.260869565217391
"85","CONTROL_NR","CONTROL_NR","Set_1-2","R1",8.746,102.134,54,152,0.355263157894737
"86","CONTROL_NR","CONTROL_NR","Set_1-2","R2",3.414,51.484,52,146,0.356164383561644
"87","CONTROL_NR","CONTROL_NR","Set_1-2","R3",6.782,84.828,54,234,0.230769230769231
"88","CONTROL_NR","CONTROL_NR","Set_1-3","R1",5.62,80.156,46,146,0.315068493150685
"89","CONTROL_NR","CONTROL_NR","Set_1-3","R2",9.488,122.848,54,164,0.329268292682927
"90","CONTROL_NR","CONTROL_NR","Set_1-3","R3",7.77,92.784,60,184,0.326086956521739
"91","CONTROL_NR","CONTROL_NR","Set_2-1","R1",11.126,86.508,64,210,0.304761904761905
"92","CONTROL_NR","CONTROL_NR","Set_2-1","R2",15.146,117.512,72,180,0.4
"93","CONTROL_NR","CONTROL_NR","Set_2-1","R3",13.508,107.258,68,192,0.354166666666667
"94","CONTROL_NR","CONTROL_NR","Set_2-2","R1",11.47,130.828,66,194,0.34020618556701
"95","CONTROL_NR","CONTROL_NR","Set_2-2","R2",9.68333333333333,111.22,76,190,0.4
"96","CONTROL_NR","CONTROL_NR","Set_2-2","R3",9.11333333333333,91.965,58,182,0.318681318681319
"97","CONTROL_NR","CONTROL_NR","Set_2-3","R1",11.412,125.42,80,192,0.416666666666667
"98","CONTROL_NR","CONTROL_NR","Set_2-3","R2",8.288,108.186,66,158,0.417721518987342
"99","CONTROL_NR","CONTROL_NR","Set_2-3","R3",9.812,126.3,72,160,0.45
"100","CONTROL_NR","CONTROL_NR","Set_3-1","R1",17.084,149.35,88,198,0.444444444444444
"101","CONTROL_NR","CONTROL_NR","Set_3-1","R2",14.286,166.11,76,202,0.376237623762376
"102","CONTROL_NR","CONTROL_NR","Set_3-1","R3",12.582,108.51,56,158,0.354430379746835
"103","CONTROL_NR","CONTROL_NR","Set_3-2","R1",9.862,98.408,50,170,0.294117647058824
"104","CONTROL_NR","CONTROL_NR","Set_3-2","R2",9.04,72.55,30,134,0.223880597014925
"105","CONTROL_NR","CONTROL_NR","Set_3-2","R3",11.506,111.43,52,152,0.342105263157895
"106","CONTROL_NR","CONTROL_NR","Set_3-3","R1",10.408,143.33,62,184,0.33695652173913
"107","CONTROL_NR","CONTROL_NR","Set_3-3","R2",9.958,130.184,80,192,0.416666666666667
"108","CONTROL_NR","CONTROL_NR","Set_3-3","R3",8.398,110.674,54,168,0.321428571428571
"109","CONTROL_NR","CONTROL_NR","Set_4-1","R1",11.5,85.988,72,180,0.4
"110","CONTROL_NR","CONTROL_NR","Set_4-1","R2",10.452,77.284,70,186,0.376344086021505
"111","CONTROL_NR","CONTROL_NR","Set_4-1","R3",13.868,108.234,94,206,0.456310679611651
"112","CONTROL_NR","CONTROL_NR","Set_4-2","R1",10.502,119.362,64,170,0.376470588235294
"113","CONTROL_NR","CONTROL_NR","Set_4-2","R2",10.85,135.892,50,128,0.390625
"114","CONTROL_NR","CONTROL_NR","Set_4-2","R3",7.638,92.644,66,168,0.392857142857143
"115","CONTROL_NR","CONTROL_NR","Set_4-3","R1",8.612,93.868,74,170,0.435294117647059
"116","CONTROL_NR","CONTROL_NR","Set_4-3","R2",10.57,125.952,82,204,0.401960784313726
"117","CONTROL_NR","CONTROL_NR","Set_4-3","R3",7.978,92.836,76,200,0.38
"118","CONTROL_NR","CONTROL_NR","Set_5-1","R1",9.486,114.53,76,194,0.391752577319588
"119","CONTROL_NR","CONTROL_NR","Set_5-1","R2",9.638,112.854,58,146,0.397260273972603
"120","CONTROL_NR","CONTROL_NR","Set_5-1","R3",8.83,97.196,64,160,0.4
"121","CONTROL_NR","CONTROL_NR","Set_5-2","R1",9.282,103.316,72,184,0.391304347826087
"122","CONTROL_NR","CONTROL_NR","Set_5-2","R2",8.698,100.986,72,196,0.36734693877551
"123","CONTROL_NR","CONTROL_NR","Set_5-2","R3",7.778,89.342,68,190,0.357894736842105
"124","CONTROL_NR","CONTROL_NR","Set_5-3","R1",9.894,116.966,74,212,0.349056603773585
"125","CONTROL_NR","CONTROL_NR","Set_5-3","R2",10.704,121.594,76,212,0.358490566037736
"126","CONTROL_NR","CONTROL_NR","Set_5-3","R3",11.84,136.796,58,190,0.305263157894737
"127","CONTROL_NR","CONTROL_NR","Set_6-1","R1",10.052,109.6,100,180,0.555555555555556
"128","CONTROL_NR","CONTROL_NR","Set_6-1","R2",10.044,107.82,80,188,0.425531914893617
"129","CONTROL_NR","CONTROL_NR","Set_6-1","R3",11.22,120.162,98,206,0.475728155339806
"130","CONTROL_NR","CONTROL_NR","Set_6-2","R1",10.1816666666667,111.196666666667,94,246,0.382113821138211
"131","CONTROL_NR","CONTROL_NR","Set_6-2","R2",7.555,99.73,60,196,0.306122448979592
"132","CONTROL_NR","CONTROL_NR","Set_6-2","R3",8.85833333333333,100.028333333333,80,206,0.388349514563107
"133","CONTROL_NR","CONTROL_NR","Set_6-3","R1",9.68,109.248,70,172,0.406976744186047
"134","CONTROL_NR","CONTROL_NR","Set_6-3","R2",9.508,111.192,88,180,0.488888888888889
"135","CONTROL_NR","CONTROL_NR","Set_6-3","R3",8.872,103.47,78,160,0.4875
"136","CONTROL_NR","CONTROL_NR","Set_7-1","R1",10.53,135.49,86,174,0.494252873563218
"137","CONTROL_NR","CONTROL_NR","Set_7-1","R2",9.47,126.226,62,156,0.397435897435897
"138","CONTROL_NR","CONTROL_NR","Set_7-1","R3",7.018,100.222,48,160,0.3
"139","CONTROL_NR","CONTROL_NR","Set_7-2","R1",10.576,109.192,64,172,0.372093023255814
"140","CONTROL_NR","CONTROL_NR","Set_7-2","R2",11.082,124.868,68,194,0.350515463917526
"141","CONTROL_NR","CONTROL_NR","Set_7-2","R3",11.37,120.312,58,164,0.353658536585366
"142","CONTROL_NR","CONTROL_NR","Set_7-3","R1",16.738,173.372,104,236,0.440677966101695
"143","CONTROL_NR","CONTROL_NR","Set_7-3","R2",16.934,170.858,108,228,0.473684210526316
"144","CONTROL_NR","CONTROL_NR","Set_7-3","R3",14.978,184.692,96,204,0.470588235294118
"145","Phytophthora aff. rosacearum","V-NDSO2_2-55","Set_3-1","R1",7.826,96.478,72,188,0.382978723404255
"146","Phytophthora aff. rosacearum","V-NDSO2_2-55","Set_3-1","R2",5.918,78.028,62,186,0.333333333333333
"147","Phytophthora aff. rosacearum","V-NDSO2_2-55","Set_3-1","R3",6.524,85.242,46,130,0.353846153846154
"148","Phytophthora aff. rosacearum","V-NDSO2_2-55","Set_3-2","R1",7.204,62.9,32,138,0.231884057971014
"149","Phytophthora aff. rosacearum","V-NDSO2_2-55","Set_3-2","R2",6.11,57.066,48,140,0.342857142857143
"150","Phytophthora aff. rosacearum","V-NDSO2_2-55","Set_3-2","R3",8.174,72.024,62,158,0.392405063291139
"151","Phytophthora aff. rosacearum","V-NDSO2_2-55","Set_3-3","R1",4.95,66.238,54,158,0.341772151898734
"152","Phytophthora aff. rosacearum","V-NDSO2_2-55","Set_3-3","R2",4.144,55.62,60,156,0.384615384615385
"153","Phytophthora aff. rosacearum","V-NDSO2_2-55","Set_3-3","R3",5.09,67.762,64,166,0.385542168674699
"154","Phytophthora aff. rosacearum","V-NESO2_6-49","Set_3-1","R1",7.96,136.208,64,158,0.40506329113924
"155","Phytophthora aff. rosacearum","V-NESO2_6-49","Set_3-1","R2",8.002,121.862,50,154,0.324675324675325
"156","Phytophthora aff. rosacearum","V-NESO2_6-49","Set_3-1","R3",7.428,105.39,74,198,0.373737373737374
"157","Phytophthora aff. rosacearum","V-NESO2_6-49","Set_3-2","R1",9.74,99.102,42,164,0.25609756097561
"158","Phytophthora aff. rosacearum","V-NESO2_6-49","Set_3-2","R2",2.888,35.292,38,144,0.263888888888889
"159","Phytophthora aff. rosacearum","V-NESO2_6-49","Set_3-2","R3",7.352,82.538,44,146,0.301369863013699
"160","Phytophthora aff. rosacearum","V-NESO2_6-49","Set_3-3","R1",7.42,99.696,68,180,0.377777777777778
"161","Phytophthora aff. rosacearum","V-NESO2_6-49","Set_3-3","R2",8.014,103.168,50,144,0.347222222222222
"162","Phytophthora aff. rosacearum","V-NESO2_6-49","Set_3-3","R3",7.168,94.376,46,144,0.319444444444444
"163","Phytophthora aff. rosacearum","V-SDSO2_4-50","Set_3-1","R1",2.718,31.388,24,98,0.244897959183673
"164","Phytophthora aff. rosacearum","V-SDSO2_4-50","Set_3-1","R2",8.34,58.614,48,122,0.39344262295082
"165","Phytophthora aff. rosacearum","V-SDSO2_4-50","Set_3-1","R3",14.856,147.63,54,144,0.375
"166","Phytophthora aff. rosacearum","V-SDSO2_4-50","Set_3-2","R1",6.16,69.03,40,150,0.266666666666667
"167","Phytophthora aff. rosacearum","V-SDSO2_4-50","Set_3-2","R2",9.99,68.9,46,154,0.298701298701299
"168","Phytophthora aff. rosacearum","V-SDSO2_4-50","Set_3-2","R3",4.12,42.51,32,152,0.210526315789474
"169","Phytophthora aff. rosacearum","V-SDSO2_4-50","Set_3-3","R1",5.156,68.096,50,148,0.337837837837838
"170","Phytophthora aff. rosacearum","V-SDSO2_4-50","Set_3-3","R2",4.89,71.88,62,164,0.378048780487805
"171","Phytophthora aff. rosacearum","V-SDSO2_4-50","Set_3-3","R3",5.894,77.262,54,148,0.364864864864865
"172","Phytophthora drechsleri","MICO_2-45","Set_2-1","R1",5.882,49.352,32,148,0.216216216216216
"173","Phytophthora drechsleri","MICO_2-45","Set_2-1","R2",1.362,12.312,12,146,0.0821917808219178
"174","Phytophthora drechsleri","MICO_2-45","Set_2-1","R3",0.188,1.164,8,134,0.0597014925373134
"175","Phytophthora drechsleri","MICO_2-45","Set_2-2","R1",2.352,23.64,18,118,0.152542372881356
"176","Phytophthora drechsleri","MICO_2-45","Set_2-2","R2",0.882,6.468,6,98,0.0612244897959184
"177","Phytophthora drechsleri","MICO_2-45","Set_2-2","R3",1.702,16.278,10,136,0.0735294117647059
"178","Phytophthora drechsleri","MICO_2-45","Set_2-3","R1",1.18,10.634,16,118,0.135593220338983
"179","Phytophthora drechsleri","MICO_2-45","Set_2-3","R2",3.76,44.552,20,134,0.149253731343284
"180","Phytophthora drechsleri","MICO_2-45","Set_2-3","R3",3.005,30.925,26,110,0.236363636363636
"181","Phytophthora inundata","C-MICO2_1-19","Set_4-1","R1",10.808,82.948,76,156,0.487179487179487
"182","Phytophthora inundata","C-MICO2_1-19","Set_4-1","R2",4.848,40.878,36,138,0.260869565217391
