Species,Set,Isolate,Rep,Whole Shoot,Roots,Number Plants,Weight per root,Weight per shoot
Pythium periplocum,Set_3-2,KSSO_5-50,R2,650,160,5,32,130
Pythium periplocum,Set_3-2,KSSO_5-50,R3,770,220,5,44,154
Pythium periilum,Set_3-2,MICO_5-23,R1,640,190,5,38,128
Pythium periilum,Set_3-2,MICO_5-23,R2,670,180,5,36,134
Pythium periilum,Set_3-2,MICO_5-23,R3,720,170,5,34,144
Aphanomyces cochlioides,Set_3-2,MICO_5-28_1,R1,730,80,5,16,146
Aphanomyces cochlioides,Set_3-2,MICO_5-28_1,R2,790,150,5,30,158
Aphanomyces cochlioides,Set_3-2,MICO_5-28_1,R3,620,70,5,14,124
Pythium periilum,Set_3-2,MICO_5-3,R1,850,140,5,28,170
Pythium periilum,Set_3-2,MICO_5-3,R2,680,150,5,30,136
Pythium periilum,Set_3-2,MICO_5-3,R3,740,140,5,28,148
Pythium periplocum,Set_3-2,MICO_6-36,R1,670,210,5,42,134
Pythium periplocum,Set_3-2,MICO_6-36,R2,820,230,5,46,164
Pythium periplocum,Set_3-2,MICO_6-36,R3,750,180,5,36,150
Pythium periilum,Set_3-2,MICO_6-5,R1,720,100,5,20,144
Pythium periilum,Set_3-2,MICO_6-5,R2,680,140,5,28,136
Pythium periilum,Set_3-2,MICO_6-5,R3,670,10,5,2,134
Pythium minus,Set_3-2,MNSO_1-38.2,R1,680,170,5,34,136
Pythium minus,Set_3-2,MNSO_1-38.2,R2,810,160,5,32,162
Pythium minus,Set_3-2,MNSO_1-38.2,R3,770,160,5,32,154
Pythium minus,Set_3-2,MNSO_2-36,R1,660,180,5,36,132
Pythium minus,Set_3-2,MNSO_2-36,R2,690,200,5,40,138
Pythium minus,Set_3-2,MNSO_2-36,R3,800,220,5,44,160
Pythium minus,Set_3-2,MNSO_2-37,R1,860,180,5,36,172
Pythium minus,Set_3-2,MNSO_2-37,R2,680,210,5,42,136
Pythium minus,Set_3-2,MNSO_2-37,R3,730,160,5,32,146
Pythium longisporangium,Set_3-2,NDSO_L_4-4,R1,720,170,5,34,144
Pythium longisporangium,Set_3-2,NDSO_L_4-4,R2,630,110,5,22,126
Pythium longisporangium,Set_3-2,NDSO_L_4-4,R3,760,110,5,22,152
Phytopythium chamaehyphon,Set_3-2,NESO_2-21,R1,840,240,5,48,168
Phytopythium chamaehyphon,Set_3-2,NESO_2-21,R2,640,220,5,44,128
Phytopythium chamaehyphon,Set_3-2,NESO_2-21,R3,610,50,5,10,122
Pythium vanterpoolii,Set_3-2,V-ARSO2_3-45,R1,740,180,5,36,148
Pythium vanterpoolii,Set_3-2,V-ARSO2_3-45,R2,840,340,5,68,168
Pythium vanterpoolii,Set_3-2,V-ARSO2_3-45,R3,700,210,5,42,140
Phytophthora rosacearum,Set_3-2,V-KSSO2_2-4,R1,750,280,5,56,150
Phytophthora rosacearum,Set_3-2,V-KSSO2_2-4,R2,640,170,5,34,128
Phytophthora rosacearum,Set_3-2,V-KSSO2_2-4,R3,910,110,5,22,182
Phytophthora aff. rosacearum,Set_3-2,V-NDSO2_2-55,R1,690,160,5,32,138
Phytophthora aff. rosacearum,Set_3-2,V-NDSO2_2-55,R2,700,240,5,48,140
Phytophthora aff. rosacearum,Set_3-2,V-NDSO2_2-55,R3,790,310,5,62,158
Pythium vanterpoolii,Set_3-2,V-NDSO2_2-56,R1,750,140,5,28,150
Pythium vanterpoolii,Set_3-2,V-NDSO2_2-56,R2,820,200,5,40,164
Pythium vanterpoolii,Set_3-2,V-NDSO2_2-56,R3,530,250,5,50,106
Pythium carolinianum,Set_3-2,V-NDSO2_3-54,R1,790,250,5,50,158
Pythium carolinianum,Set_3-2,V-NDSO2_3-54,R2,770,220,5,44,154
Pythium carolinianum,Set_3-2,V-NDSO2_3-54,R3,780,190,5,38,156
Phytophthora aff. rosacearum,Set_3-2,V-NESO2_6-49,R1,820,210,5,42,164
Phytophthora aff. rosacearum,Set_3-2,V-NESO2_6-49,R2,720,190,5,38,144
Phytophthora aff. rosacearum,Set_3-2,V-NESO2_6-49,R3,730,220,5,44,146
Phytopythium chamaehyphon,Set_3-2,V-SDSO2_2-45,R1,720,190,5,38,144
Phytopythium chamaehyphon,Set_3-2,V-SDSO2_2-45,R2,730,190,5,38,146
Phytopythium chamaehyphon,Set_3-2,V-SDSO2_2-45,R3,670,220,5,44,134
Phytophthora rosacearum,Set_3-2,V-SDSO2_4-45,R1,670,180,5,36,134
Phytophthora rosacearum,Set_3-2,V-SDSO2_4-45,R2,820,180,5,36,164
Phytophthora rosacearum,Set_3-2,V-SDSO2_4-45,R3,670,220,5,44,134
Phytophthora aff. rosacearum,Set_3-2,V-SDSO2_4-50,R1,750,200,5,40,150
Phytophthora aff. rosacearum,Set_3-2,V-SDSO2_4-50,R2,770,230,5,46,154
Phytophthora aff. rosacearum,Set_3-2,V-SDSO2_4-50,R3,760,160,5,32,152
Pythium carolinianum,Set_3-2,V-SDSO2_4-66,R1,810,210,5,42,162
Pythium carolinianum,Set_3-2,V-SDSO2_4-66,R2,740,280,5,56,148
Pythium carolinianum,Set_3-2,V-SDSO2_4-66,R3,760,190,5,38,152
Pythium terrestris,Set_3-3,C-IASO2_4-7,R1,790,310,5,62,158
Pythium terrestris,Set_3-3,C-IASO2_4-7,R2,700,140,5,28,140
Pythium terrestris,Set_3-3,C-IASO2_4-7,R3,580,200,5,40,116
Pythium vanterpoolii,Set_3-3,C-MISO2_5-21,R1,810,230,5,46,162
Pythium vanterpoolii,Set_3-3,C-MISO2_5-21,R2,870,340,5,68,174
Pythium vanterpoolii,Set_3-3,C-MISO2_5-21,R3,650,290,5,58,130
Phytophthora rosacearum,Set_3-3,C-MNSO2_6-7,R1,860,290,5,58,172
Phytophthora rosacearum,Set_3-3,C-MNSO2_6-7,R2,730,310,5,62,146
Phytophthora rosacearum,Set_3-3,C-MNSO2_6-7,R3,660,260,5,52,132
Pythium carolinianum,Set_3-3,C-NDSO2_3-2,R1,760,270,5,54,152
Pythium carolinianum,Set_3-3,C-NDSO2_3-2,R2,820,330,5,66,164
Pythium carolinianum,Set_3-3,C-NDSO2_3-2,R3,960,440,5,88,192
CONTROL,Set_3-3,CONTROL,R1,810,310,5,62,162
CONTROL,Set_3-3,CONTROL,R2,960,280,5,56,192
CONTROL,Set_3-3,CONTROL,R3,980,400,5,80,196
CONTROL_NR,Set_3-3,CONTROL_NR,R1,920,310,5,62,184
CONTROL_NR,Set_3-3,CONTROL_NR,R2,960,400,5,80,192
CONTROL_NR,Set_3-3,CONTROL_NR,R3,840,270,5,54,168
Pythium longisporangium,Set_3-3,ILSO_2-18b,R1,750,310,5,62,150
Pythium longisporangium,Set_3-3,ILSO_2-18b,R2,610,230,5,46,122
Pythium longisporangium,Set_3-3,ILSO_2-18b,R3,850,320,5,64,170
Pythium longisporangium,Set_3-3,ILSO_2-19b,R1,670,230,5,46,134
Pythium longisporangium,Set_3-3,ILSO_2-19b,R2,870,330,5,66,174
Pythium longisporangium,Set_3-3,ILSO_2-19b,R3,790,220,5,44,158
Phytopythium chamaehyphon,Set_3-3,INSO_2-39,R1,790,210,5,42,158
Phytopythium chamaehyphon,Set_3-3,INSO_2-39,R2,750,250,5,50,150
Phytopythium chamaehyphon,Set_3-3,INSO_2-39,R3,760,270,5,54,152
Pythium periplocum,Set_3-3,KSSO_5-45,R1,670,120,5,24,134
Pythium periplocum,Set_3-3,KSSO_5-45,R2,640,120,5,24,128
Pythium periplocum,Set_3-3,KSSO_5-45,R3,570,100,5,20,114
Pythium periplocum,Set_3-3,KSSO_5-50,R1,830,390,5,78,166
Pythium periplocum,Set_3-3,KSSO_5-50,R2,590,140,5,28,118
Pythium periplocum,Set_3-3,KSSO_5-50,R3,960,360,5,72,192
Pythium periilum,Set_3-3,MICO_5-23,R1,820,330,5,66,164
Pythium periilum,Set_3-3,MICO_5-23,R2,810,390,5,78,162
Pythium periilum,Set_3-3,MICO_5-23,R3,750,210,5,42,150
Aphanomyces cochlioides,Set_3-3,MICO_5-28_1,R1,740,330,5,66,148
Aphanomyces cochlioides,Set_3-3,MICO_5-28_1,R2,740,130,5,26,148
Aphanomyces cochlioides,Set_3-3,MICO_5-28_1,R3,870,290,5,58,174
Pythium periilum,Set_3-3,MICO_5-3,R1,940,350,5,70,188
Pythium periilum,Set_3-3,MICO_5-3,R2,800,290,5,58,160
Pythium periilum,Set_3-3,MICO_5-3,R3,730,200,5,40,146
Pythium periplocum,Set_3-3,MICO_6-36,R1,880,300,5,60,176
Pythium periplocum,Set_3-3,MICO_6-36,R2,820,290,5,58,164
Pythium periplocum,Set_3-3,MICO_6-36,R3,700,260,5,52,140
Pythium periilum,Set_3-3,MICO_6-5,R1,780,270,5,54,156
Pythium periilum,Set_3-3,MICO_6-5,R2,640,220,5,44,128
Pythium periilum,Set_3-3,MICO_6-5,R3,650,200,5,40,130
Pythium minus,Set_3-3,MNSO_1-38.2,R1,840,250,5,50,168
Pythium minus,Set_3-3,MNSO_1-38.2,R2,790,320,5,64,158
Pythium minus,Set_3-3,MNSO_1-38.2,R3,900,250,5,50,180
Pythium minus,Set_3-3,MNSO_2-36,R1,710,200,5,40,142
Pythium minus,Set_3-3,MNSO_2-36,R2,830,290,5,58,166
Pythium minus,Set_3-3,MNSO_2-36,R3,690,220,5,44,138
Pythium minus,Set_3-3,MNSO_2-37,R1,760,150,5,30,152
Pythium minus,Set_3-3,MNSO_2-37,R2,810,380,5,76,162
Pythium minus,Set_3-3,MNSO_2-37,R3,830,330,5,66,166
Pythium longisporangium,Set_3-3,NDSO_L_4-4,R1,650,210,5,42,130
Pythium longisporangium,Set_3-3,NDSO_L_4-4,R2,670,230,5,46,134
Pythium longisporangium,Set_3-3,NDSO_L_4-4,R3,770,210,5,42,154
Phytopythium chamaehyphon,Set_3-3,NESO_2-21,R1,850,300,5,60,170
Phytopythium chamaehyphon,Set_3-3,NESO_2-21,R2,710,190,5,38,142
Phytopythium chamaehyphon,Set_3-3,NESO_2-21,R3,840,220,5,44,168
Pythium vanterpoolii,Set_3-3,V-ARSO2_3-45,R1,730,280,5,56,146
Pythium vanterpoolii,Set_3-3,V-ARSO2_3-45,R2,660,160,5,32,132
Pythium vanterpoolii,Set_3-3,V-ARSO2_3-45,R3,800,220,5,44,160
Phytophthora rosacearum,Set_3-3,V-KSSO2_2-4,R1,590,170,5,34,118
Phytophthora rosacearum,Set_3-3,V-KSSO2_2-4,R2,960,320,5,64,192
Phytophthora rosacearum,Set_3-3,V-KSSO2_2-4,R3,870,310,5,62,174
Phytophthora aff. rosacearum,Set_3-3,V-NDSO2_2-55,R1,790,270,5,54,158
Phytophthora aff. rosacearum,Set_3-3,V-NDSO2_2-55,R2,780,300,5,60,156
Phytophthora aff. rosacearum,Set_3-3,V-NDSO2_2-55,R3,830,320,5,64,166
Pythium vanterpoolii,Set_3-3,V-NDSO2_2-56,R1,720,260,5,52,144
Pythium vanterpoolii,Set_3-3,V-NDSO2_2-56,R2,790,300,5,60,158
Pythium vanterpoolii,Set_3-3,V-NDSO2_2-56,R3,720,260,5,52,144
Pythium carolinianum,Set_3-3,V-NDSO2_3-54,R1,770,390,5,78,154
Pythium carolinianum,Set_3-3,V-NDSO2_3-54,R2,810,230,5,46,162
Pythium carolinianum,Set_3-3,V-NDSO2_3-54,R3,940,300,5,60,188
Phytophthora aff. rosacearum,Set_3-3,V-NESO2_6-49,R1,900,340,5,68,180
Phytophthora aff. rosacearum,Set_3-3,V-NESO2_6-49,R2,720,250,5,50,144
Phytophthora aff. rosacearum,Set_3-3,V-NESO2_6-49,R3,720,230,5,46,144
Phytopythium chamaehyphon,Set_3-3,V-SDSO2_2-45,R1,730,220,5,44,146
Phytopythium chamaehyphon,Set_3-3,V-SDSO2_2-45,R2,830,300,5,60,166
Phytopythium chamaehyphon,Set_3-3,V-SDSO2_2-45,R3,860,230,5,46,172
Phytophthora rosacearum,Set_3-3,V-SDSO2_4-45,R1,640,210,5,42,128
Phytophthora rosacearum,Set_3-3,V-SDSO2_4-45,R2,770,170,5,34,154
Phytophthora rosacearum,Set_3-3,V-SDSO2_4-45,R3,690,180,5,36,138
Phytophthora aff. rosacearum,Set_3-3,V-SDSO2_4-50,R1,740,250,5,50,148
Phytophthora aff. rosacearum,Set_3-3,V-SDSO2_4-50,R2,820,310,5,62,164
Phytophthora aff. rosacearum,Set_3-3,V-SDSO2_4-50,R3,740,270,5,54,148
Pythium carolinianum,Set_3-3,V-SDSO2_4-66,R1,710,250,5,50,142
Pythium carolinianum,Set_3-3,V-SDSO2_4-66,R2,700,290,5,58,140
Pythium carolinianum,Set_3-3,V-SDSO2_4-66,R3,900,330,5,66,180
Pythium acrogynum,Set_4-1,C-ARSO2_6-19,R1,890,410,5,82,178
Pythium acrogynum,Set_4-1,C-ARSO2_6-19,R2,980,370,5,74,196
Pythium acrogynum,Set_4-1,C-ARSO2_6-19,R3,890,330,5,66,178
Pythium monospermum,Set_4-1,C-INSO2_2-15,R1,1000,380,5,76,200
Pythium monospermum,Set_4-1,C-INSO2_2-15,R2,960,390,5,78,192
Pythium monospermum,Set_4-1,C-INSO2_2-15,R3,830,370,5,74,166
Pythium longandrum,Set_4-1,C-KSSO2_5-20,R1,790,210,5,42,158
Pythium longandrum,Set_4-1,C-KSSO2_5-20,R2,640,80,5,16,128
Pythium longandrum,Set_4-1,C-KSSO2_5-20,R3,1010,320,5,64,202
Phytophthora inundata,Set_4-1,C-MICO2_1-19,R1,780,380,5,76,156
Phytophthora inundata,Set_4-1,C-MICO2_1-19,R2,690,180,5,36,138
Phytophthora inundata,Set_4-1,C-MICO2_1-19,R3,880,350,5,70,176
Pythium oligandrum,Set_4-1,C-MICO2_5-16,R1,770,260,5,52,154
Pythium oligandrum,Set_4-1,C-MICO2_5-16,R2,780,340,5,68,156
Pythium oligandrum,Set_4-1,C-MICO2_5-16,R3,920,430,5,86,184
Pythium acrogynum,Set_4-1,C-MISO2_1-11,R1,850,380,5,76,170
Pythium acrogynum,Set_4-1,C-MISO2_1-11,R2,890,440,5,88,178
Pythium acrogynum,Set_4-1,C-MISO2_1-11,R3,730,280,5,56,146
Pythium oligandrum,Set_4-1,C-MISO2_5-23,R1,700,310,5,62,140
Pythium oligandrum,Set_4-1,C-MISO2_5-23,R2,710,290,5,58,142
Pythium oligandrum,Set_4-1,C-MISO2_5-23,R3,800,350,5,70,160
Pythium contiguanum,Set_4-1,C-MISO2_5-4,R1,770,310,5,62,154
Pythium contiguanum,Set_4-1,C-MISO2_5-4,R2,720,300,5,60,144
Pythium contiguanum,Set_4-1,C-MISO2_5-4,R3,860,290,5,58,172
Pythium oligandrum,Set_4-1,C-MISO2_6-6,R1,730,280,5,56,146
Pythium oligandrum,Set_4-1,C-MISO2_6-6,R2,790,420,5,84,158
Pythium oligandrum,Set_4-1,C-MISO2_6-6,R3,750,390,5,78,150
Pythium torulosum,Set_4-1,C-MNSO2_2-21,R1,920,370,5,74,184
Pythium torulosum,Set_4-1,C-MNSO2_2-21,R2,880,350,5,70,176
Pythium torulosum,Set_4-1,C-MNSO2_2-21,R3,1020,540,5,108,204
Pythium longandrum,Set_4-1,C-NESO2_6-25,R1,890,410,5,82,178
Pythium longandrum,Set_4-1,C-NESO2_6-25,R2,920,370,5,74,184
Pythium longandrum,Set_4-1,C-NESO2_6-25,R3,720,230,5,46,144
Pythium contiguanum,Set_4-1,C-SDSO2_4-9,R1,790,320,5,64,158
Pythium contiguanum,Set_4-1,C-SDSO2_4-9,R2,840,380,5,76,168
Pythium contiguanum,Set_4-1,C-SDSO2_4-9,R3,820,320,5,64,164
CONTROL,Set_4-1,CONTROL,R1,880,300,5,60,176
CONTROL,Set_4-1,CONTROL,R2,1000,390,5,78,200
CONTROL,Set_4-1,CONTROL,R3,820,270,5,54,164
CONTROL_NR,Set_4-1,CONTROL_NR,R1,900,360,5,72,180
CONTROL_NR,Set_4-1,CONTROL_NR,R2,930,350,5,70,186
CONTROL_NR,Set_4-1,CONTROL_NR,R3,1030,470,5,94,206
Pythium aff. diclinum,Set_4-1,IASO_4-9,R1,610,150,5,30,122
Pythium aff. diclinum,Set_4-1,IASO_4-9,R2,470,20,5,4,94
Pythium aff. diclinum,Set_4-1,IASO_4-9,R3,580,130,5,26,116
Pythium contiguanum,Set_4-1,ILSO_3-26B,R1,820,330,5,66,164
Pythium contiguanum,Set_4-1,ILSO_3-26B,R2,810,450,5,90,162
Pythium contiguanum,Set_4-1,ILSO_3-26B,R3,890,380,5,76,178
Pythium monospermum,Set_4-1,INSO_2-25,R1,890,320,5,64,178
Pythium monospermum,Set_4-1,INSO_2-25,R2,870,330,5,66,174
Pythium monospermum,Set_4-1,INSO_2-25,R3,820,330,5,66,164
Pythium rhizosaccharum,Set_4-1,KSSO_2-11,R1,840,380,5,76,168
Pythium rhizosaccharum,Set_4-1,KSSO_2-11,R2,1000,410,5,82,200
Pythium rhizosaccharum,Set_4-1,KSSO_2-11,R3,600,250,5,50,120
Pythium longandrum,Set_4-1,MICO_2-24,R1,750,250,5,50,150
Pythium longandrum,Set_4-1,MICO_2-24,R2,870,360,5,72,174
Pythium longandrum,Set_4-1,MICO_2-24,R3,930,320,5,64,186
Pythium torulosum,Set_4-1,MISO_5-19h,R1,890,440,5,88,178
Pythium torulosum,Set_4-1,MISO_5-19h,R2,840,330,5,66,168
Pythium torulosum,Set_4-1,MISO_5-19h,R3,720,200,5,40,144
Pythium torulosum,Set_4-1,MISO_8-29_1,R1,860,340,5,68,172
Pythium torulosum,Set_4-1,MISO_8-29_1,R2,1000,390,5,78,200
Pythium torulosum,Set_4-1,MISO_8-29_1,R3,1090,430,5,86,218
Pythium rhizosaccharum,Set_4-1,MNSO_1-29,R1,740,330,5,66,148
Pythium rhizosaccharum,Set_4-1,MNSO_1-29,R2,830,320,5,64,166
Pythium rhizosaccharum,Set_4-1,MNSO_1-29,R3,890,430,5,86,178
Phytophthora inundata,Set_4-1,MNSO_2-41.1H,R1,890,320,5,64,178
Phytophthora inundata,Set_4-1,MNSO_2-41.1H,R2,900,380,5,76,180
Phytophthora inundata,Set_4-1,MNSO_2-41.1H,R3,920,490,5,98,184
Pythium aff. diclinum,Set_4-1,NDSO_5-2,R1,580,100,5,20,116
Pythium aff. diclinum,Set_4-1,NDSO_5-2,R2,250,30,5,6,50
Pythium aff. diclinum,Set_4-1,NDSO_5-2,R3,440,110,5,22,88
Pythium aff. diclinum,Set_4-1,NDSO_5-6,R1,660,290,5,58,132
Pythium aff. diclinum,Set_4-1,NDSO_5-6,R2,820,400,5,80,164
Pythium aff. diclinum,Set_4-1,NDSO_5-6,R3,840,380,5,76,168
Pythium rhizosaccharum,Set_4-1,NESO_4-43,R1,920,330,5,66,184
Pythium rhizosaccharum,Set_4-1,NESO_4-43,R2,940,430,5,86,188
Pythium rhizosaccharum,Set_4-1,NESO_4-43,R3,660,170,5,34,132
Phytophthora inundata,Set_4-1,V-NDSO2_3-60,R1,630,250,5,50,126
Phytophthora inundata,Set_4-1,V-NDSO2_3-60,R2,880,350,5,70,176
Phytophthora inundata,Set_4-1,V-NDSO2_3-60,R3,730,260,5,52,146
Pythium acrogynum,Set_4-1,V-NDSO2_4-48,R1,630,290,5,58,126
Pythium acrogynum,Set_4-1,V-NDSO2_4-48,R2,680,310,5,62,136
Pythium acrogynum,Set_4-1,V-NDSO2_4-48,R3,810,380,5,76,162
Pythium glomeratum,Set_4-1,WISO_2-12.2,R1,940,360,5,72,188
Pythium glomeratum,Set_4-1,WISO_2-12.2,R2,880,350,5,70,176
Pythium glomeratum,Set_4-1,WISO_2-12.2,R3,730,290,5,58,146
Pythium glomeratum,Set_4-1,WISO_4-18,R1,640,230,5,46,128
Pythium glomeratum,Set_4-1,WISO_4-18,R2,590,290,5,58,118
Pythium glomeratum,Set_4-1,WISO_4-18,R3,680,180,5,36,136
Pythium glomeratum,Set_4-1,WISO_4-22.1,R1,1090,310,5,62,218
Pythium glomeratum,Set_4-1,WISO_4-22.1,R2,940,300,5,60,188
Pythium glomeratum,Set_4-1,WISO_4-22.1,R3,1000,450,5,90,200
Pythium acrogynum,Set_4-2,C-ARSO2_6-19,R1,720,290,5,58,144
Pythium acrogynum,Set_4-2,C-ARSO2_6-19,R2,790,340,5,68,158
Pythium acrogynum,Set_4-2,C-ARSO2_6-19,R3,710,260,5,52,142
Pythium monospermum,Set_4-2,C-INSO2_2-15,R1,790,300,5,60,158
Pythium monospermum,Set_4-2,C-INSO2_2-15,R2,820,330,5,66,164
Pythium monospermum,Set_4-2,C-INSO2_2-15,R3,690,300,5,60,138
Pythium longandrum,Set_4-2,C-KSSO2_5-20,R1,770,400,5,80,154
Pythium longandrum,Set_4-2,C-KSSO2_5-20,R2,630,270,5,54,126
Pythium longandrum,Set_4-2,C-KSSO2_5-20,R3,770,350,5,70,154
Phytophthora inundata,Set_4-2,C-MICO2_1-19,R1,550,280,5,56,110
Phytophthora inundata,Set_4-2,C-MICO2_1-19,R2,820,420,5,84,164
Phytophthora inundata,Set_4-2,C-MICO2_1-19,R3,780,410,5,82,156
Pythium oligandrum,Set_4-2,C-MICO2_5-16,R1,660,310,5,62,132
Pythium oligandrum,Set_4-2,C-MICO2_5-16,R2,750,310,5,62,150
Pythium oligandrum,Set_4-2,C-MICO2_5-16,R3,580,250,5,50,116
Pythium acrogynum,Set_4-2,C-MISO2_1-11,R1,770,360,5,72,154
Pythium acrogynum,Set_4-2,C-MISO2_1-11,R2,720,350,5,70,144
Pythium acrogynum,Set_4-2,C-MISO2_1-11,R3,700,300,5,60,140
Pythium oligandrum,Set_4-2,C-MISO2_5-23,R1,830,420,5,84,166
Pythium oligandrum,Set_4-2,C-MISO2_5-23,R2,710,330,5,66,142
Pythium oligandrum,Set_4-2,C-MISO2_5-23,R3,780,320,5,64,156
Pythium contiguanum,Set_4-2,C-MISO2_5-4,R1,650,260,5,52,130
Pythium contiguanum,Set_4-2,C-MISO2_5-4,R2,870,370,5,74,174
Pythium contiguanum,Set_4-2,C-MISO2_5-4,R3,700,200,5,40,140
Pythium oligandrum,Set_4-2,C-MISO2_6-6,R1,930,470,5,94,186
Pythium oligandrum,Set_4-2,C-MISO2_6-6,R2,760,340,5,68,152
Pythium oligandrum,Set_4-2,C-MISO2_6-6,R3,620,340,5,68,124
Pythium torulosum,Set_4-2,C-MNSO2_2-21,R1,900,350,5,70,180
Pythium torulosum,Set_4-2,C-MNSO2_2-21,R2,870,320,5,64,174
Pythium torulosum,Set_4-2,C-MNSO2_2-21,R3,730,300,5,60,146
Pythium longandrum,Set_4-2,C-NESO2_6-25,R1,740,310,5,62,148
Pythium longandrum,Set_4-2,C-NESO2_6-25,R2,710,350,5,70,142
Pythium longandrum,Set_4-2,C-NESO2_6-25,R3,800,300,5,60,160
Pythium contiguanum,Set_4-2,C-SDSO2_4-9,R1,920,380,5,76,184
Pythium contiguanum,Set_4-2,C-SDSO2_4-9,R2,730,280,5,56,146
Pythium contiguanum,Set_4-2,C-SDSO2_4-9,R3,590,170,5,34,118
CONTROL,Set_4-2,CONTROL,R1,750,250,5,50,150
CONTROL,Set_4-2,CONTROL,R2,930,350,5,70,186
CONTROL,Set_4-2,CONTROL,R3,780,310,5,62,156
CONTROL_NR,Set_4-2,CONTROL_NR,R1,850,320,5,64,170
CONTROL_NR,Set_4-2,CONTROL_NR,R2,640,250,5,50,128
CONTROL_NR,Set_4-2,CONTROL_NR,R3,840,330,5,66,168
Pythium aff. diclinum,Set_4-2,IASO_4-9,R1,430,30,5,6,86
Pythium aff. diclinum,Set_4-2,IASO_4-9,R2,360,0,5,0,72
Pythium aff. diclinum,Set_4-2,IASO_4-9,R3,630,110,5,22,126
Pythium contiguanum,Set_4-2,ILSO_3-26B,R1,980,420,5,84,196
Pythium contiguanum,Set_4-2,ILSO_3-26B,R2,590,220,5,44,118
Pythium contiguanum,Set_4-2,ILSO_3-26B,R3,760,260,5,52,152
Pythium monospermum,Set_4-2,INSO_2-25,R1,600,250,5,50,120
Pythium monospermum,Set_4-2,INSO_2-25,R2,760,340,5,68,152
Pythium monospermum,Set_4-2,INSO_2-25,R3,790,390,5,78,158
Pythium rhizosaccharum,Set_4-2,KSSO_2-11,R1,840,370,5,74,168
Pythium rhizosaccharum,Set_4-2,KSSO_2-11,R2,710,270,5,54,142
Pythium rhizosaccharum,Set_4-2,KSSO_2-11,R3,770,310,5,62,154
Pythium longandrum,Set_4-2,MICO_2-24,R1,740,340,5,68,148
Pythium longandrum,Set_4-2,MICO_2-24,R2,860,320,5,64,172
Pythium longandrum,Set_4-2,MICO_2-24,R3,690,300,5,60,138
Pythium torulosum,Set_4-2,MISO_5-19h,R1,520,240,5,48,104
Pythium torulosum,Set_4-2,MISO_5-19h,R2,630,280,5,56,126
Pythium torulosum,Set_4-2,MISO_5-19h,R3,700,280,5,56,140
Pythium torulosum,Set_4-2,MISO_8-29_1,R1,850,360,5,72,170
Pythium torulosum,Set_4-2,MISO_8-29_1,R2,850,340,5,68,170
Pythium torulosum,Set_4-2,MISO_8-29_1,R3,1000,520,5,104,200
Pythium rhizosaccharum,Set_4-2,MNSO_1-29,R1,770,310,5,62,154
Pythium rhizosaccharum,Set_4-2,MNSO_1-29,R2,800,370,5,74,160
Pythium rhizosaccharum,Set_4-2,MNSO_1-29,R3,740,280,5,56,148
Phytophthora inundata,Set_4-2,MNSO_2-41.1H,R1,770,300,5,60,154
Phytophthora inundata,Set_4-2,MNSO_2-41.1H,R2,890,460,5,92,178
Phytophthora inundata,Set_4-2,MNSO_2-41.1H,R3,770,380,5,76,154
Pythium aff. diclinum,Set_4-2,NDSO_5-2,R1,580,170,5,34,116
Pythium aff. diclinum,Set_4-2,NDSO_5-2,R2,330,40,5,8,66
Pythium aff. diclinum,Set_4-2,NDSO_5-2,R3,420,70,5,14,84
Pythium aff. diclinum,Set_4-2,NDSO_5-6,R1,650,250,5,50,130
Pythium aff. diclinum,Set_4-2,NDSO_5-6,R2,830,260,5,52,166
Pythium aff. diclinum,Set_4-2,NDSO_5-6,R3,740,330,5,66,148
Pythium rhizosaccharum,Set_4-2,NESO_4-43,R1,700,260,5,52,140
Pythium rhizosaccharum,Set_4-2,NESO_4-43,R2,870,280,5,56,174
Pythium rhizosaccharum,Set_4-2,NESO_4-43,R3,830,330,5,66,166
Phytophthora inundata,Set_4-2,V-NDSO2_3-60,R1,650,250,5,50,130
Phytophthora inundata,Set_4-2,V-NDSO2_3-60,R2,740,330,5,66,148
Phytophthora inundata,Set_4-2,V-NDSO2_3-60,R3,640,310,5,62,128
Pythium acrogynum,Set_4-2,V-NDSO2_4-48,R1,610,290,5,58,122
Pythium acrogynum,Set_4-2,V-NDSO2_4-48,R2,970,320,5,64,194
Pythium acrogynum,Set_4-2,V-NDSO2_4-48,R3,770,360,5,72,154
Pythium glomeratum,Set_4-2,WISO_2-12.2,R1,830,280,5,56,166
Pythium glomeratum,Set_4-2,WISO_2-12.2,R2,860,340,5,68,172
Pythium glomeratum,Set_4-2,WISO_2-12.2,R3,940,390,5,78,188
Pythium glomeratum,Set_4-2,WISO_4-18,R1,730,320,5,64,146
Pythium glomeratum,Set_4-2,WISO_4-18,R2,760,320,5,64,152
Pythium glomeratum,Set_4-2,WISO_4-18,R3,650,260,5,52,130
Pythium glomeratum,Set_4-2,WISO_4-22.1,R1,780,300,5,60,156
Pythium glomeratum,Set_4-2,WISO_4-22.1,R2,740,340,5,68,148
Pythium glomeratum,Set_4-2,WISO_4-22.1,R3,620,300,5,60,124
Pythium hypogynum,Set_5-1,C-ARSO2_3-12,R1,530,240,5,48,106
Pythium hypogynum,Set_5-1,C-ARSO2_3-12,R2,570,300,5,60,114
Pythium hypogynum,Set_5-1,C-ARSO2_3-12,R3,690,230,5,46,138
